,package_name,github_owner,github_repo
169,python-snappy,intake,python-snappy
170,attrs,python-attrs,attrs
171,fonttools,fonttools,fonttools
172,entrypoints,takluyver,entrypoints
173,nest-asyncio,erdewit,nest_asyncio
174,pexpect,pexpect,pexpect
175,mistune,lepture,mistune
176,aiohttp,fafhrd91,aiohttp
177,jupyterlab-pygments,jupyterlab,jupyterlab_pygments
178,jupyter-client,jupyter,jupyter_client
179,tox,tox-dev,tox
