,quarter,from_project_name,grant_pool_name,to_project_name,total_funding
156,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,teku-consensys,3.0000000000000004
157,2020-01-01 00:00:00+00:00,gitcoin,GG-04,vyperlang,843.909
158,2021-07-01 00:00:00+00:00,gitcoin,GG-11,lodestar-chainsafe,19.43785889899482
159,2024-01-01 00:00:00+00:00,optimism,retropgf3,solhint-protofire,69565.51
160,2024-01-01 00:00:00+00:00,optimism,retropgf3,crate-crypto,347827.48
161,2020-01-01 00:00:00+00:00,gitcoin,GG-05,vyperlang,9.8082
162,2022-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,18.9686677186429
163,2020-07-01 00:00:00+00:00,gitcoin,GG-07,hardhat-nomicfoundation,157.45
164,2020-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,2722.123645118562
165,2020-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,teku-consensys,56.59283528144556
166,2019-01-01 00:00:00+00:00,gitcoin,GG-01,lighthouse-sigp,2105.16
167,2024-10-01 00:00:00+00:00,optimism,retrofunding5,erigontech,1897283.3687921916
168,2023-04-01 00:00:00+00:00,optimism,retropgf2,wighawag,93973.5
169,2024-10-01 00:00:00+00:00,optimism,retrofunding5,quic-go,281035.09900234384
170,,gitcoin,GG-18 - 0x222ea76664ed77d18d4416d2b2e77937b76f0a35,wevm,24714.016256062503
171,,gitcoin,GG-19 - 0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,wighawag,451.49162325000003
172,2024-01-01 00:00:00+00:00,optimism,retropgf3,alloy-rs,2170443.52
173,2023-04-01 00:00:00+00:00,optimism,retropgf2,lodestar-chainsafe,119494.5
174,2024-01-01 00:00:00+00:00,optimism,retropgf3,nimbus-status-im,695654.995
175,2021-04-01 00:00:00+00:00,gitcoin,GG-09,hardhat-nomicfoundation,370.229854559882
176,2024-01-01 00:00:00+00:00,optimism,retropgf3,blst-supranational,226087.855
177,2021-04-01 00:00:00+00:00,gitcoin,GG-09,walletconnect,20606.9385483252
178,2023-04-01 00:00:00+00:00,optimism,retropgf2,go-ethereum,345885.0
179,2024-01-01 00:00:00+00:00,optimism,retropgf3,go-ethereum,1739137.47
180,2019-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,vyperlang,5000.0
181,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,3556.4711629800177
182,2020-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,ethers-io,1305.8366270900424
183,2022-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,1568.0989563844278
184,2022-01-01 00:00:00+00:00,gitcoin,CGrants - Direct,hardhat-nomicfoundation,3412.7681876560337
185,2021-10-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,7457.178815233082
186,2021-04-01 00:00:00+00:00,gitcoin,CGrants - Direct,prysmaticlabs,6778.452772948013
187,2021-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,walletconnect,7835.172544938683
188,2022-07-01 00:00:00+00:00,gitcoin,CGrants - Direct,wighawag,39.267508414719
189,2019-01-01 00:00:00+00:00,gitcoin,GG-01,prysmaticlabs,35550.17999999999
190,2019-07-01 00:00:00+00:00,gitcoin,GG-03,ethers-io,3010.997041528307
191,2019-07-01 00:00:00+00:00,gitcoin,GG-03,lighthouse-sigp,3223.144455521171
192,2019-10-01 00:00:00+00:00,gitcoin,GG-03,walletconnect,12450.089999999998
193,2019-07-01 00:00:00+00:00,gitcoin,GG-03,walletconnect,7743.142799999999
194,2020-01-01 00:00:00+00:00,gitcoin,GG-04,walletconnect,13170.009
